Source Target Weight
干戈 宋江 4
太祖 武德 5
太祖 林冲 14
太祖 柴大官人 4
太祖 武松 10
太祖 宋江 10
太祖 殷天锡 4
太祖 杨戬 4
武德 太祖 5
武德 林冲 14
武德 柴大官人 4
武德 武松 10
武德 宋江 6
柴世宗 林冲 7
柴世宗 柴大官人 6
柴世宗 宋江 5
柴世宗 李师师 4
柴世宗 燕青 4
真宗 黄榜 4
真宗 老叟 6
黄榜 真宗 4
黄榜 老叟 6
老叟 真宗 6
老叟 黄榜 6
大元帅 梁山泊 4
大元帅 欧阳侍郎 5
闻天子 梁山泊 5
闻天子 宿太尉 11
闻天子 宋江 25
闻天子 卢俊义 6
天罡 洪太尉 4
天罡 太尉 6
天罡 梁山泊 5
天罡 宋江 26
天罡 呼延 10
天罡 宋江道 4
天罡 何道士 4
天罡 玄女 4
梁山泊 林冲 108
梁山泊 宛子城 10
梁山泊 大官人 17
梁山泊 王伦 23
梁山泊 宋万 23
梁山泊 小喽啰 71
梁山泊 柴进 24
梁山泊 若蒙 5
梁山泊 庄客 24
梁山泊 寻思 30
梁山泊 金印 4
梁山泊 水亭 6
梁山泊 施礼 4
梁山泊 柴大官人 11
梁山泊 杜迁 23
梁山泊 朱贵道 12
梁山泊 杨志 28
梁山泊 杨志道 9
梁山泊 高太尉 135
梁山泊 小可 30
梁山泊 亦且 5
梁山泊 小寨 8
梁山泊 朱贵 44
梁山泊 朱仝 54
梁山泊 雷横 21
梁山泊 呼唤 6
梁山泊 晁盖 98
梁山泊 姓甚名谁 8
梁山泊 吴用 167
梁山泊 石碣 17
梁山泊 阮小二 33
梁山泊 阮小五 36
梁山泊 阮小七 31
梁山泊 阮家三 7
梁山泊 吴用劝 6
梁山泊 杨志便 5
梁山泊 曹正 21
梁山泊 梁中书 59
梁山泊 和尚 14
梁山泊 刘唐 57
梁山泊 公孙先生 5
梁山泊 公孙胜 47
梁山泊 何涛 5
梁山泊 梁山 9
梁山泊 晁盖便 6
梁山泊 牛宰马 10
梁山泊 钱粮 37
梁山泊 蔡太师 31
梁山泊 宋江 568
梁山泊 宋江道 98
梁山泊 宋江便 26
梁山泊 宋江听 16
梁山泊 大恩 6
梁山泊 阎婆惜 5
梁山泊 言语 29
梁山泊 冷笑 7
梁山泊 燕顺道 4
梁山泊 仁兄 20
梁山泊 孔太公 4
梁山泊 李广花 9
梁山泊 武松 34
梁山泊 宋江自 11
梁山泊 黄信 15
梁山泊 郑天寿 16
梁山泊 花荣 46
梁山泊 秦明 37
梁山泊 慕容 12
梁山泊 晁天王 24
梁山泊 祖贯 10
梁山泊 嘉陵 4
梁山泊 郭盛 24
梁山泊 都依允 4
梁山泊 白虎山 8
梁山泊 宋江见 14
梁山泊 石勇 53
梁山泊 太公 22
梁山泊 宋公明 104
梁山泊 白旗 6
梁山泊 吕方 21
梁山泊 白胜 12
梁山泊 弓弩 6
梁山泊 戴宗 108
梁山泊 李俊 40
梁山泊 宋太公 14
梁山泊 宋清 12
梁山泊 李立道 9
梁山泊 李立 19
梁山泊 芦苇丛 7
梁山泊 宋江笑 6
梁山泊 戴宗便 5
梁山泊 宋皇帝 5
梁山泊 戴宗道 26
梁山泊 神行太保 24
梁山泊 宋三郎 11
梁山泊 蔡九 11
梁山泊 白龙庙 6
梁山泊 戴宗告 4
梁山泊 黄文炳 26
梁山泊 相公 23
梁山泊 张横 17
梁山泊 穆弘 24
梁山泊 穆春 9
梁山泊 薛永 8
梁山泊 童威 17
梁山泊 童猛 11
梁山泊 李大哥 4
梁山泊 张顺 36
梁山泊 李逵 278
梁山泊 马军 29
梁山泊 孔明 14
梁山泊 龙李俊 7
梁山泊 侯健 6
梁山泊 金大坚 8
梁山泊 金沙滩 22
梁山泊 欧鹏 9
梁山泊 蒋敬 5
梁山泊 马麟 10
梁山泊 陶宗旺 9
梁山泊 宋家村 5
梁山泊 林子里 5
梁山泊 庄上来 4
梁山泊 冷汗 5
梁山泊 晁盖之 4
梁山泊 林子 11
梁山泊 朱富 10
梁山泊 李达 12
梁山泊 飞也似 4
梁山泊 母大虫 5
梁山泊 曹太公 6
梁山泊 李云 11
梁山泊 招贤纳士 7
梁山泊 宋二 5
梁山泊 高姓大名 5
梁山泊 杨林 26
梁山泊 公孙胜先生 6
梁山泊 宋二公 9
梁山泊 邓飞 12
梁山泊 裴宣 18
梁山泊 石秀道 28
梁山泊 招安 103
梁山泊 石秀 64
梁山泊 杨雄 46
梁山泊 孟康 7
梁山泊 杨雄道 20
梁山泊 山后 4
梁山泊 石秀便 4
梁山泊 高唐州 7
梁山泊 小二哥 6
梁山泊 祝家庄 31
梁山泊 祝朝奉 7
梁山泊 祝氏 4
梁山泊 杜兴 36
梁山泊 杜兴道 6
梁山泊 扈家庄 4
梁山泊 祝龙 4
梁山泊 祝虎 7
梁山泊 祝彪 24
梁山泊 栾廷玉 9
梁山泊 扈三娘 8
梁山泊 李大官人 9
梁山泊 祝家 6
梁山泊 仁义 6
梁山泊 祝彪道 4
梁山泊 李应 30
梁山泊 李应道 8
梁山泊 薄礼 4
梁山泊 顾大嫂 27
梁山泊 邹渊 15
梁山泊 伯伯 16
梁山泊 解珍 32
梁山泊 毛太公 5
梁山泊 孙立道 4
梁山泊 邹润 10
梁山泊 孙新 11
梁山泊 天罡 5
梁山泊 孙立 17
梁山泊 虞候 8
梁山泊 宋江喝 4
梁山泊 宋江回 4
梁山泊 马匹 9
梁山泊 宋江引 11
梁山泊 高廉 11
梁山泊 文武 16
梁山泊 金钱豹 4
梁山泊 汤隆 9
梁山泊 宋江阵 4
梁山泊 凯歌 5
梁山泊 呼延 93
梁山泊 子孙 4
梁山泊 帅府 7
梁山泊 谢恩 12
梁山泊 恩相 10
梁山泊 马步军 16
梁山泊 韩滔 19
梁山泊 马出城 5
梁山泊 和暖 4
梁山泊 闻天子 5
梁山泊 黄封御 9
梁山泊 凌振 10
梁山泊 徐宁 15
梁山泊 李荣 5
梁山泊 李忠 11
梁山泊 周通 8
梁山泊 天晓 4
