Id Label Weight
俊逸 俊逸 1
桑田 桑田 1
弓曲木 弓曲木 1
雨露 雨露 2
宋神宗 宋神宗 1
干戈 干戈 3
太祖 太祖 9
武德 武德 6
红光 红光 3
帝王 帝王 3
邵尧夫 邵尧夫 1
陈抟 陈抟 2
高有德 高有德 1
柴世宗 柴世宗 5
太宗皇帝 太宗皇帝 1
宗皇帝 宗皇帝 2
真宗 真宗 2
仁宗 仁宗 2
黄榜 黄榜 2
老叟 老叟 4
武有武 武有武 1
玉帝 玉帝 4
紫微 紫微 4
龙图阁 龙图阁 1
包拯 包拯 1
武曲星 武曲星 1
大元帅 大元帅 8
狄青 狄青 1
田禾 田禾 1
惠民 惠民 1
闻天子 闻天子 9
天罡 天罡 34
宋国 宋国 3
梁山泊 梁山泊 568
张天师 张天师 1
洪太尉 洪太尉 23
方进翠 方进翠 1
云裘 云裘 1
宫殿 宫殿 9
佩声 佩声 1
宋仁宗 宋仁宗 1
紫宸殿 紫宸殿 3
官朝贺 官朝贺 4
凤阁 凤阁 4
柳拂 柳拂 3
天香影 天香影 1
丹墀 丹墀 7
白玉阶 白玉阶 3
文武 文武 34
赵哲 赵哲 1
文彦博 文彦博 1
伏望 伏望 3
宗天子 宗天子 4
班启奏 班启奏 5
范仲淹 范仲淹 1
宣嗣汉 宣嗣汉 1
香一炷 香一炷 1
太尉 太尉 220
洪信 洪信 6
龙虎山 龙虎山 8
宣请嗣 宣请嗣 1
师张真人 师张真人 1
金殿 金殿 8
金盒子 金盒子 2
罗衣 罗衣 1
紫陌 紫陌 3
丹诏 丹诏 8
宝盖 宝盖 4
翠柏 翠柏 3
阴森 阴森 2
灵符 灵符 1
老桧 老桧 2
丁力士 丁力士 1
真武 真武 2
龙虎 龙虎 9
星君 星君 4
莎草 莎草 4
三清殿 三清殿 5
步虚 步虚 1
玉磬 玉磬 1
碧琉璃 碧琉璃 4
老君 老君 2
结一茅 结一茅 1
子宣诏 子宣诏 1
宣丹诏 宣丹诏 1
凡尘 凡尘 2
斋戒沐浴 斋戒沐浴 1
权歇 权歇 4
志诚 志诚 3
孤岭 孤岭 1
古渡 古渡 2
左壁 左壁 1
青黛 青黛 2
葛攀藤 葛攀藤 2
何曾 何曾 9
松树 松树 41
左盘右 左盘右 6
托地望 托地望 1
麻木 麻木 6
龙香 龙香 2
太尉见 太尉见 3
金光 金光 5
张开巨 张开巨 1
粟子 粟子 1
那道士 那道士 1
黄牛 黄牛 10
管铁笛 管铁笛 3
那道童 那道童 1
耿耿 耿耿 4
吕洞宾 吕洞宾 1
寻思 寻思 179
紫微殿 紫微殿 1
太乙殿 太乙殿 1
诸宫 诸宫 1
朱红 朱红 24
朱印 朱印 1
伏魔 伏魔 1
老祖 老祖 1
祖老 祖老 2
封锁 封锁 1
子子孙孙 子子孙孙 2
宣诏 宣诏 2
黑洞洞 黑洞洞 4
太阳光 太阳光 1
太尉教 太尉教 2
龙章凤 龙章凤 4
岳撼 岳撼 2
钱塘江 钱塘江 8
巨灵神 巨灵神 4
施威 施威 3
宛子城 宛子城 11
言语 言语 128
史家村 史家村 5
冷汗 冷汗 6
闻人 闻人 6
晏驾 晏驾 2
濮安懿 濮安懿 1
王允让 王允让 1
神宗 神宗 2
宣武 宣武 2
仁义 仁义 11
柳大郎 柳大郎 4
柳世权 柳世权 3
那高俅 那高俅 4
金梁 金梁 1
亦且 亦且 15
宿歇 宿歇 24
小苏学士 小苏学士 3
门吏转 门吏转 4
王晋卿 王晋卿 1
小王 小王 4
那小王 那小王 1
太尉乃 太尉乃 2
神宗皇帝 神宗皇帝 1
王都尉 王都尉 15
宝鼎 宝鼎 3
司频 司频 1
熊掌 熊掌 3
玉蕊 玉蕊 3
翠袖 翠袖 1
龙笙 龙笙 2
凤管 凤管 2
都尉 都尉 5
席相陪 席相陪 4
